Lab Data from MenloSensor
04/20/2015

Sunny day monitoring from about 12:26 PM on

Battery started mostly discharged 12:16 PM

No light flashing due to day/night program

Microcontroller always on at default 8Mhz ceramic resonator
  - No microcontroller power saving programmed as of yet

Radio on new power control program with radio power off after
250ms.

30 second update rate that automatically powers on the radio,
reads the sensors and sends the data update.

Need current measurements for:

  - In radio power off state

  - 70-85ma with radio powered on from previous testing

600ma hour single cell AA NiCD battery 1.25v

In the past can expect the device go shutoff when battery
gets below 0.90v
2015/04/20 14:33:26: 03E1.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 14:33:56: 03E4.01AE.020E.0162.0000 battery 1.387V solar 1.697V 
2015/04/20 14:34:26: 03E2.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 14:34:56: 03E2.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 14:35:25: 03E2.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 14:35:55: 03E1.01BB.020E.015D.0000 battery 1.429V solar 1.697V 
2015/04/20 14:36:25: 03E1.01BB.020E.015D.0000 battery 1.429V solar 1.697V 
2015/04/20 14:36:55: 03E2.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 14:37:25: 03E4.01AE.020D.0161.0000 battery 1.387V solar 1.694V 
2015/04/20 14:37:55: 03E4.01BA.020C.0162.0000 battery 1.426V solar 1.690V 
2015/04/20 14:38:25: 03E3.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 14:38:55: 03E4.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 14:39:25: 03E3.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 14:39:55: 03E2.01BB.020D.0159.0000 battery 1.429V solar 1.694V 
2015/04/20 14:40:25: 03E3.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 14:40:55: 03E4.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 14:41:25: 03E4.01B1.0204.0161.0000 battery 1.397V solar 1.665V 
2015/04/20 14:41:55: 03E3.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 14:42:25: 03E5.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 14:42:55: 03E3.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 14:43:25: 03E3.01BB.020D.0161.0000 battery 1.429V solar 1.694V 
2015/04/20 14:43:55: 03E4.01B3.0205.0161.0000 battery 1.403V solar 1.668V 
2015/04/20 14:44:25: 03E1.01BA.020D.0158.0000 battery 1.426V solar 1.694V 
2015/04/20 14:44:55: 03E3.01BA.020D.015A.0000 battery 1.426V solar 1.694V 
2015/04/20 14:45:25: 03E3.01BA.020D.015A.0000 battery 1.426V solar 1.694V 
2015/04/20 14:45:55: 03E3.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 14:46:25: 03E3.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 14:46:55: 03E3.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 14:47:24: 03E3.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 14:47:54: 03E4.01AE.020D.0161.0000 battery 1.387V solar 1.694V 
2015/04/20 14:48:24: 03E4.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 14:48:54: 03E3.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 14:49:24: 03E3.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 14:49:54: 03E5.01B4.0209.0161.0000 battery 1.406V solar 1.681V 
2015/04/20 14:50:24: 03E3.01BA.020D.0160.0000 battery 1.426V solar 1.694V 
2015/04/20 14:50:54: 03E3.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 14:51:24: 03E3.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 14:51:54: 03E3.01BA.020D.015E.0000 battery 1.426V solar 1.694V 
2015/04/20 14:52:24: 03E3.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 14:52:54: 03E4.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 14:53:24: 03E4.01BA.020C.015F.0000 battery 1.426V solar 1.690V 
2015/04/20 14:53:54: 03E4.01BA.020D.0159.0000 battery 1.426V solar 1.694V 
2015/04/20 14:54:24: 03E5.01B6.020C.0161.0000 battery 1.413V solar 1.690V 
2015/04/20 14:54:54: 03E4.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 14:55:24: 03E5.01B2.01FF.0161.0000 battery 1.400V solar 1.648V 
2015/04/20 14:55:54: 03E3.01B9.020B.0160.0000 battery 1.423V solar 1.687V 
2015/04/20 14:56:24: 03E4.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 14:56:54: 03E5.01B8.0209.0161.0000 battery 1.419V solar 1.681V 
2015/04/20 14:57:24: 03E5.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 14:57:54: 03E4.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 14:58:24: 03E4.01B2.020D.0161.0000 battery 1.400V solar 1.694V 
2015/04/20 14:58:53: 03E5.01B3.01FF.0161.0000 battery 1.403V solar 1.648V 
2015/04/20 14:59:23: 03E4.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 14:59:53: 03E4.01B6.020D.0161.0000 battery 1.413V solar 1.694V 
2015/04/20 15:00:23: 03E4.01BA.020D.015E.0000 battery 1.426V solar 1.694V 
2015/04/20 15:00:53: 03E4.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 15:01:23: 03E4.01BA.020D.015B.0000 battery 1.426V solar 1.694V 
2015/04/20 15:01:53: 03E5.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:02:23: 03E5.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:02:53: 03E4.01BA.020D.0160.0000 battery 1.426V solar 1.694V 
2015/04/20 15:03:23: 03E5.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 15:03:53: 03E5.01B9.0209.0160.0000 battery 1.423V solar 1.681V 
2015/04/20 15:04:23: 03E5.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:04:53: 03E4.01B2.0207.0160.0000 battery 1.400V solar 1.674V 
2015/04/20 15:05:23: 03E7.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 15:05:53: 03E5.01BA.020C.015F.0000 battery 1.426V solar 1.690V 
2015/04/20 15:06:23: 03E5.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:06:53: 03E5.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:07:23: 03E5.01BA.020C.0160.0000 battery 1.426V solar 1.690V 
2015/04/20 15:07:53: 03E5.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 15:08:23: 03E5.01B3.020D.0161.0000 battery 1.403V solar 1.694V 
2015/04/20 15:08:53: 03E7.01AC.01FE.0160.0000 battery 1.381V solar 1.645V 
2015/04/20 15:09:23: 03E5.01BA.020C.0160.0000 battery 1.426V solar 1.690V 
2015/04/20 15:09:53: 03E5.01AF.0204.0161.0000 battery 1.390V solar 1.665V 
2015/04/20 15:10:23: 03E5.01BA.020C.0160.0000 battery 1.426V solar 1.690V 
2015/04/20 15:10:52: 03E5.01BA.020C.015A.0000 battery 1.426V solar 1.690V 
2015/04/20 15:11:22: 03E5.01BA.020D.0159.0000 battery 1.426V solar 1.694V 
2015/04/20 15:11:52: 03E6.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 15:12:22: 03E6.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:12:52: 03E6.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:13:22: 03E5.01BA.020C.015E.0000 battery 1.426V solar 1.690V 
2015/04/20 15:13:52: 03E6.01BA.020C.015E.0000 battery 1.426V solar 1.690V 
2015/04/20 15:14:22: 03E6.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:14:52: 03E5.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:15:22: 03E6.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:15:52: 03E6.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:16:22: 03E5.01B2.020C.0161.0000 battery 1.400V solar 1.690V 
2015/04/20 15:16:52: 03E5.01BA.020C.0160.0000 battery 1.426V solar 1.690V 
2015/04/20 15:17:22: 03E7.01B3.01FE.0161.0000 battery 1.403V solar 1.645V 
2015/04/20 15:17:52: 03E7.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 15:18:22: 03E6.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:18:52: 03E7.01B9.020C.0161.0000 battery 1.423V solar 1.690V 
2015/04/20 15:19:22: 03E6.01B4.0202.015C.0000 battery 1.406V solar 1.658V 
2015/04/20 15:19:52: 03E6.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 15:20:22: 03E6.01BA.020D.0158.0000 battery 1.426V solar 1.694V 
2015/04/20 15:20:52: 03E6.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:21:22: 03E6.01BB.020D.015A.0000 battery 1.429V solar 1.694V 
2015/04/20 15:21:52: 03E6.01BA.020D.0161.0000 battery 1.426V solar 1.694V 
2015/04/20 15:22:21: 03E8.01B2.0202.0161.0000 battery 1.400V solar 1.658V 
2015/04/20 15:22:51: 03E7.01BB.020D.0159.0000 battery 1.429V solar 1.694V 
2015/04/20 15:23:21: 03E7.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:23:51: 03E7.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 15:24:21: 03E7.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 15:24:51: 03E5.01BB.020D.015B.0000 battery 1.429V solar 1.694V 
2015/04/20 15:25:21: 03E5.01BB.020D.0161.0000 battery 1.429V solar 1.694V 
2015/04/20 15:25:51: 03E6.01BB.020D.0162.0000 battery 1.429V solar 1.694V 
2015/04/20 15:26:21: 03E6.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 15:26:51: 03E6.01BB.020D.015B.0000 battery 1.429V solar 1.694V 
2015/04/20 15:27:21: 03E7.01BA.020C.0162.0000 battery 1.426V solar 1.690V 
2015/04/20 15:27:51: 03E8.01BA.0205.0162.0000 battery 1.426V solar 1.668V 
2015/04/20 15:28:21: 03E7.01BB.020E.015E.0000 battery 1.429V solar 1.697V 
2015/04/20 15:28:51: 03E7.01BB.020E.0158.0000 battery 1.429V solar 1.697V 
2015/04/20 15:29:21: 03E6.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 15:29:51: 03E7.01BB.020E.015D.0000 battery 1.429V solar 1.697V 
2015/04/20 15:30:21: 03E7.01BB.020E.015C.0000 battery 1.429V solar 1.697V 
2015/04/20 15:30:51: 03E8.01B0.0204.0162.0000 battery 1.394V solar 1.665V 
2015/04/20 15:31:21: 03E7.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 15:31:51: 03E8.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 15:32:21: 03E7.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 15:32:51: 03E7.01BB.020E.015B.0000 battery 1.429V solar 1.697V 
2015/04/20 15:33:21: 03E7.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 15:33:51: 03E8.01BA.0201.0162.0000 battery 1.426V solar 1.655V 
2015/04/20 15:34:21: 03E8.01BB.020D.0162.0000 battery 1.429V solar 1.694V 
2015/04/20 15:34:50: 03E6.01BB.020D.0162.0000 battery 1.429V solar 1.694V 
2015/04/20 15:35:20: 03E8.01AF.020E.0162.0000 battery 1.390V solar 1.697V 
2015/04/20 15:35:50: 03E7.01B2.020E.015E.0000 battery 1.400V solar 1.697V 
2015/04/20 15:36:20: 03E8.01BA.020C.0162.0000 battery 1.426V solar 1.690V 
2015/04/20 15:36:50: 03E7.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 15:37:20: 03E8.01B7.01FF.0162.0000 battery 1.416V solar 1.648V 
2015/04/20 15:37:50: 03E7.01BB.020E.015B.0000 battery 1.429V solar 1.697V 
2015/04/20 15:38:20: 03E8.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 15:38:50: 03E8.01BA.0203.0162.0000 battery 1.426V solar 1.661V 
2015/04/20 15:39:20: 03E7.01BB.020E.015E.0000 battery 1.429V solar 1.697V 
2015/04/20 15:39:50: 03E7.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 15:40:20: 03E8.01B0.0206.0162.0000 battery 1.394V solar 1.671V 
2015/04/20 15:40:50: 03E8.01B0.020E.015B.0000 battery 1.394V solar 1.697V 
2015/04/20 15:41:20: 03E8.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 15:41:50: 03E8.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 15:42:20: 03EA.01BA.020E.0162.0000 battery 1.426V solar 1.697V 
2015/04/20 15:42:50: 03E9.01BB.0206.0163.0000 battery 1.429V solar 1.671V 
2015/04/20 15:43:20: 03E9.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 15:43:50: 03E9.01BB.0206.0163.0000 battery 1.429V solar 1.671V 
2015/04/20 15:44:20: 03E9.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 15:44:50: 03E8.01BC.020F.0164.0000 battery 1.432V solar 1.700V 
2015/04/20 15:45:20: 03E9.01B9.020D.0163.0000 battery 1.423V solar 1.694V 
2015/04/20 15:45:50: 03E9.01BC.020E.0163.0000 battery 1.432V solar 1.697V 
2015/04/20 15:46:20: 03E8.01BC.020F.0164.0000 battery 1.432V solar 1.700V 
2015/04/20 15:46:50: 03E7.01BC.020F.0164.0000 battery 1.432V solar 1.700V 
2015/04/20 15:47:19: 03E8.01BC.020F.0163.0000 battery 1.432V solar 1.700V 
2015/04/20 15:47:49: 03E8.01BC.020F.015E.0000 battery 1.432V solar 1.700V 
2015/04/20 15:48:19: 03E8.01BC.020F.0163.0000 battery 1.432V solar 1.700V 
2015/04/20 15:48:49: 03E8.01B0.020B.0162.0000 battery 1.394V solar 1.687V 
2015/04/20 15:49:19: 03E9.01BC.020E.0163.0000 battery 1.432V solar 1.697V 
2015/04/20 15:49:49: 03E9.01BC.020F.0163.0000 battery 1.432V solar 1.700V 
2015/04/20 15:50:19: 03E8.01BC.020F.0163.0000 battery 1.432V solar 1.700V 
2015/04/20 15:50:49: 03E7.01BC.020E.0163.0000 battery 1.432V solar 1.697V 
2015/04/20 15:51:19: 03E9.01BC.020E.0163.0000 battery 1.432V solar 1.697V 
2015/04/20 15:51:49: 03E9.01BC.020F.015C.0000 battery 1.432V solar 1.700V 
2015/04/20 15:52:19: 03E8.01BC.020E.0163.0000 battery 1.432V solar 1.697V 
2015/04/20 15:53:19: 03E9.01BC.020E.0163.0000 battery 1.432V solar 1.697V 
2015/04/20 15:53:49: 03E9.01BC.020E.0162.0000 battery 1.432V solar 1.697V 
2015/04/20 15:54:19: 03E9.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 15:54:49: 03EA.01BC.020E.0163.0000 battery 1.432V solar 1.697V 
2015/04/20 15:55:19: 03EA.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 15:55:49: 03EA.01BB.020D.0162.0000 battery 1.429V solar 1.694V 
2015/04/20 15:56:19: 03EA.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 15:56:49: 03EA.01BB.0202.0162.0000 battery 1.429V solar 1.658V 
2015/04/20 15:57:19: 03EA.01BB.020D.0162.0000 battery 1.429V solar 1.694V 
2015/04/20 15:58:19: 03EA.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 15:58:49: 03EA.01BB.020D.0162.0000 battery 1.429V solar 1.694V 
2015/04/20 15:59:19: 03EB.01AE.0209.0162.0000 battery 1.387V solar 1.681V 
2015/04/20 15:59:48: 03EA.01BB.020E.0162.0000 battery 1.429V solar 1.697V 
2015/04/20 16:00:18: 03EB.01B0.0209.0162.0000 battery 1.394V solar 1.681V 
2015/04/20 16:00:48: 03E9.01BB.020D.015B.0000 battery 1.429V solar 1.694V 
2015/04/20 16:01:18: 03EA.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 16:01:48: 03EA.01BA.020D.015B.0000 battery 1.426V solar 1.694V 
2015/04/20 16:02:18: 03EA.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:02:48: 03E9.01BA.020C.015A.0000 battery 1.426V solar 1.690V 
2015/04/20 16:03:18: 03EA.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:03:48: 03EA.01BA.020B.0160.0000 battery 1.426V solar 1.687V 
2015/04/20 16:04:18: 03EB.01B5.020C.0160.0000 battery 1.410V solar 1.690V 
2015/04/20 16:04:48: 03E9.01BA.020C.0159.0000 battery 1.426V solar 1.690V 
2015/04/20 16:05:18: 03EA.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:05:48: 03EA.01BA.020B.015F.0000 battery 1.426V solar 1.687V 
2015/04/20 16:06:18: 03EB.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:06:48: 03E9.01BA.020C.0160.0000 battery 1.426V solar 1.690V 
2015/04/20 16:07:18: 03EB.01B6.020B.0160.0000 battery 1.413V solar 1.687V 
2015/04/20 16:07:48: 03EB.01B8.020A.0160.0000 battery 1.419V solar 1.684V 
2015/04/20 16:08:18: 03EC.01B4.020C.0160.0000 battery 1.406V solar 1.690V 
2015/04/20 16:08:48: 03E9.01BA.020B.015D.0000 battery 1.426V solar 1.687V 
2015/04/20 16:09:18: 03EC.01B8.020A.0160.0000 battery 1.419V solar 1.684V 

------

                     lite bat  slr  mois temp
2015/04/20 16:09:48: 03EB.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:10:18: 03EA.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:10:48: 03EC.01B2.0200.0160.0000 battery 1.400V solar 1.652V 
2015/04/20 16:11:18: 03EA.01BA.020B.0158.0000 battery 1.426V solar 1.687V 
2015/04/20 16:11:48: 03E9.01BA.020B.0160.0000 battery 1.426V solar 1.687V 
2015/04/20 16:12:17: 03EB.01B8.01FF.0160.0000 battery 1.419V solar 1.648V 
2015/04/20 16:12:47: 03EA.01BA.0203.0160.0000 battery 1.426V solar 1.661V 
2015/04/20 16:13:17: 03EB.01BA.020B.0160.0000 battery 1.426V solar 1.687V 
2015/04/20 16:13:47: 03EA.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:14:17: 03EB.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 16:14:47: 03EB.01B1.020B.0160.0000 battery 1.397V solar 1.687V 
2015/04/20 16:15:17: 03EC.01B5.0206.0160.0000 battery 1.410V solar 1.671V 
2015/04/20 16:15:47: 03EA.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:16:17: 03EC.01B6.01FE.0160.0000 battery 1.413V solar 1.645V 
2015/04/20 16:16:47: 03EA.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:17:17: 03EB.01BA.020B.0160.0000 battery 1.426V solar 1.687V 
2015/04/20 16:17:47: 03EB.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:18:17: 03EB.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:18:47: 03EA.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:19:17: 03EB.01BA.0204.0160.0000 battery 1.426V solar 1.665V 
2015/04/20 16:19:47: 03EB.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 16:20:17: 03EB.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 16:20:47: 03EC.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 16:21:17: 03EC.01BA.020C.0161.0000 battery 1.426V solar 1.690V 
2015/04/20 16:21:47: 03EC.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 16:22:17: 03ED.01AC.01FE.0160.0000 battery 1.381V solar 1.645V 
2015/04/20 16:22:47: 03ED.01B4.01FE.0160.0000 battery 1.406V solar 1.645V 
2015/04/20 16:23:17: 03EB.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 16:23:47: 03EC.01BA.020C.0158.0000 battery 1.426V solar 1.690V 
2015/04/20 16:24:17: 03EC.01BA.020B.015D.0000 battery 1.426V solar 1.687V 
2015/04/20 16:24:46: 03ED.01B6.020A.0161.0000 battery 1.413V solar 1.684V 
2015/04/20 16:25:16: 03EC.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:25:46: 03EC.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:26:16: 03EC.01BA.020C.015D.0000 battery 1.426V solar 1.690V 
2015/04/20 16:26:46: 03ED.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 16:27:16: 03EC.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 16:27:46: 03ED.01B4.0202.0160.0000 battery 1.406V solar 1.658V 
2015/04/20 16:28:16: 03EC.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:28:46: 03EC.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 16:29:16: 03ED.01B9.01FF.0161.0000 battery 1.423V solar 1.648V 
2015/04/20 16:29:46: 03EC.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:30:16: 03ED.01B9.020A.0161.0000 battery 1.423V solar 1.684V 
2015/04/20 16:30:46: 03ED.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 16:31:16: 03ED.01AE.01FF.0160.0000 battery 1.387V solar 1.648V 
2015/04/20 16:31:46: 03ED.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:32:16: 03ED.01B3.0204.0160.0000 battery 1.403V solar 1.665V 
2015/04/20 16:32:46: 03ED.01B9.020A.0161.0000 battery 1.423V solar 1.684V 
2015/04/20 16:33:16: 03ED.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:33:46: 03ED.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:34:16: 03EC.01B9.020B.0161.0000 battery 1.423V solar 1.687V 
2015/04/20 16:34:46: 03EB.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:35:16: 03ED.01B5.01FD.0160.0000 battery 1.410V solar 1.642V 
2015/04/20 16:35:46: 03EC.01BA.020B.0157.0000 battery 1.426V solar 1.687V 
2015/04/20 16:36:16: 03ED.01B7.0203.0160.0000 battery 1.416V solar 1.661V 
2015/04/20 16:36:46: 03EE.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:37:16: 03ED.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:37:46: 03ED.01BA.020B.0160.0000 battery 1.426V solar 1.687V 
2015/04/20 16:38:15: 03ED.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:38:45: 03ED.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:39:15: 03ED.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:39:45: 03EE.01B4.0200.0160.0000 battery 1.406V solar 1.652V 
2015/04/20 16:40:15: 03ED.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:40:45: 03ED.01BA.020B.0161.0000 battery 1.426V solar 1.687V 
2015/04/20 16:41:15: 03EE.01B8.020A.0160.0000 battery 1.419V solar 1.684V 
2015/04/20 16:41:45: 03EE.01B6.0207.0160.0000 battery 1.413V solar 1.674V 
2015/04/20 16:42:15: 03EF.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:42:45: 03EF.01B5.020B.0160.0000 battery 1.410V solar 1.687V 
2015/04/20 16:43:15: 03ED.01B5.020B.0160.0000 battery 1.410V solar 1.687V 
2015/04/20 16:43:45: 03ED.01BA.020B.0160.0000 battery 1.426V solar 1.687V 
2015/04/20 16:44:15: 03EE.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:44:45: 03EE.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:45:15: 03EE.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:45:45: 03EE.01B9.020A.0161.0000 battery 1.423V solar 1.684V 
2015/04/20 16:46:15: 03EE.01BA.0203.0160.0000 battery 1.426V solar 1.661V 
2015/04/20 16:46:45: 03EE.01B8.0209.0160.0000 battery 1.419V solar 1.681V 
2015/04/20 16:47:15: 03EE.01B9.0208.0160.0000 battery 1.423V solar 1.677V 
2015/04/20 16:47:45: 03EE.01B9.0209.0160.0000 battery 1.423V solar 1.681V 
2015/04/20 16:48:15: 03ED.01B9.020A.015F.0000 battery 1.423V solar 1.684V 
2015/04/20 16:48:45: 03EE.01B9.0209.0160.0000 battery 1.423V solar 1.681V 
2015/04/20 16:49:15: 03EF.01B8.0209.015F.0000 battery 1.419V solar 1.681V 
2015/04/20 16:49:45: 03ED.01B9.020A.0158.0000 battery 1.423V solar 1.684V 
2015/04/20 16:50:15: 03EE.01B9.0209.0160.0000 battery 1.423V solar 1.681V 
2015/04/20 16:50:45: 03EE.01B8.0209.0160.0000 battery 1.419V solar 1.681V 
2015/04/20 16:51:15: 03ED.01B1.0207.015F.0000 battery 1.397V solar 1.674V 
2015/04/20 16:51:45: 03EE.01B9.020A.015A.0000 battery 1.423V solar 1.684V 
2015/04/20 16:52:14: 03EE.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:52:44: 03EE.01B9.0209.0160.0000 battery 1.423V solar 1.681V 
2015/04/20 16:53:14: 03ED.01B9.020A.015A.0000 battery 1.423V solar 1.684V 
2015/04/20 16:53:44: 03EE.01B9.0209.0160.0000 battery 1.423V solar 1.681V 
2015/04/20 16:54:14: 03EE.01B8.0209.0160.0000 battery 1.419V solar 1.681V 
2015/04/20 16:54:44: 03EE.01B9.0209.0160.0000 battery 1.423V solar 1.681V 
2015/04/20 16:55:14: 03EE.01B2.01FF.015F.0000 battery 1.400V solar 1.648V 
2015/04/20 16:55:44: 03EE.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
2015/04/20 16:56:14: 03EE.01B9.020A.0161.0000 battery 1.423V solar 1.684V 
2015/04/20 16:56:44: 03EF.01AF.01FC.0160.0000 battery 1.390V solar 1.639V 
2015/04/20 16:57:14: 03EF.01B8.0205.0160.0000 battery 1.419V solar 1.668V 
2015/04/20 16:57:44: 03EF.01B8.0205.0160.0000 battery 1.419V solar 1.668V 
2015/04/20 16:58:14: 03ED.01B9.020A.0158.0000 battery 1.423V solar 1.684V 
2015/04/20 16:58:44: 03EE.01B9.020A.0161.0000 battery 1.423V solar 1.684V 
2015/04/20 16:59:14: 03EE.01B9.020A.0160.0000 battery 1.423V solar 1.684V 
