Lab Data from MenloSensor
04/20/2015

Sunny day monitoring from about 12:26 PM on

Battery started mostly discharged 12:16 PM

No light flashing due to day/night program

Microcontroller always on at default 8Mhz ceramic resonator
  - No microcontroller power saving programmed as of yet

Radio on new power control program with radio power off after
250ms.

30 second update rate that automatically powers on the radio,
reads the sensors and sends the data update.

Need current measurements for:

  - In radio power off state

  - 70-85ma with radio powered on from previous testing

600ma hour single cell AA NiCD battery 1.25v

In the past can expect the device go shutoff when battery
gets below 0.90v
2015/04/20 12:58:34: 03DC.01BA.020E.0163.0000 battery 1.426V solar 1.697V 
2015/04/20 12:59:04: 03DD.01B0.0206.0162.0000 battery 1.394V solar 1.671V 
2015/04/20 12:59:34: 03DF.01AE.020D.0162.0000 battery 1.387V solar 1.694V 
2015/04/20 13:00:04: 03DC.01BA.020E.015D.0000 battery 1.426V solar 1.697V 
2015/04/20 13:00:34: 03DC.01BA.020E.015A.0000 battery 1.426V solar 1.697V 
2015/04/20 13:01:04: 03DD.01B9.020D.0162.0000 battery 1.423V solar 1.694V 
2015/04/20 13:01:34: 03DC.01BA.020E.0163.0000 battery 1.426V solar 1.697V 
2015/04/20 13:02:03: 03DD.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:02:33: 03DC.01BA.020E.0163.0000 battery 1.426V solar 1.697V 
2015/04/20 13:03:03: 03DC.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 13:03:33: 03DC.01BB.020F.0162.0000 battery 1.429V solar 1.700V 
2015/04/20 13:04:03: 03DD.01BA.020D.0162.0000 battery 1.426V solar 1.694V 
2015/04/20 13:04:33: 03DD.01B9.020E.0162.0000 battery 1.423V solar 1.697V 
2015/04/20 13:05:03: 03DC.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 13:05:33: 03DC.01BB.020F.0164.0000 battery 1.429V solar 1.700V 
2015/04/20 13:06:03: 03DC.01BB.020F.0164.0000 battery 1.429V solar 1.700V 
2015/04/20 13:06:33: 03DC.01BB.020F.0161.0000 battery 1.429V solar 1.700V 
2015/04/20 13:07:03: 03DC.01BB.020F.015D.0000 battery 1.429V solar 1.700V 
2015/04/20 13:07:33: 03DC.01BB.020F.0164.0000 battery 1.429V solar 1.700V 
2015/04/20 13:08:03: 03DC.01BB.020F.0164.0000 battery 1.429V solar 1.700V 
2015/04/20 13:08:33: 03DD.01BA.0205.0163.0000 battery 1.426V solar 1.668V 
2015/04/20 13:09:03: 03DB.01BA.020D.0163.0000 battery 1.426V solar 1.694V 
2015/04/20 13:09:33: 03DD.01B2.020B.0163.0000 battery 1.400V solar 1.687V 
2015/04/20 13:10:03: 03DD.01AE.0210.0163.0000 battery 1.387V solar 1.703V 
2015/04/20 13:10:33: 03DD.01B6.020D.0163.0000 battery 1.413V solar 1.694V 
2015/04/20 13:11:03: 03DC.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 13:11:33: 03DD.01BB.0203.0163.0000 battery 1.429V solar 1.661V 
2015/04/20 13:12:03: 03DC.01BB.020F.0161.0000 battery 1.429V solar 1.700V 
2015/04/20 13:12:33: 03DE.01B3.0203.0162.0000 battery 1.403V solar 1.661V 
2015/04/20 13:13:03: 03DC.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 13:13:32: 03DD.01BA.020E.0162.0000 battery 1.426V solar 1.697V 
